Road,S Ref E,S Ref N,Score
U,169304,46876,-1
U,193285,239465,-1
U,195330,57968,-1
U,196492,203167,-1
U,196725,70578,-1
U,199063,238031,-1
U,205058,57967,-1
U,205715,85598,-1
U,206270,208995,-1
U,212620,207540,-1
U,212870,204936,-1
U,215770,691740,-1
U,219537,240780,-1
U,220021,327250,-1
U,226977,74492,-1
U,229288,62028,-1
U,235970,670130,-1
U,236245,382770,-1
U,236816,210536,-1
U,240000,968000,-1
U,241600,665740,-1
U,243114,191540,-1
U,243700,346700,-1
U,244341,240509,-1
U,246624,139949,-1
U,247390,84763,-1
U,247958,224365,-1
U,250315,129013,-1
U,251132,125818,-1
U,255448,208258,-1
U,255460,634890,-1
U,255580,688770,-1
U,256558,118571,-1
U,257060,194188,-1
U,258566,95111,-1
U,260323,212080,-1
U,260590,305817,-1
U,260678,338727,-1
U,262110,380030,-1
U,262780,56490,-1
U,264240,211281,-1
U,264270,284130,-1
U,267102,106842,-1
U,267221,107747,-1
U,267351,48908,-1
U,268117,195197,-1
U,268370,551535,-1
U,269611,74009,-1
U,270046,122536,-1
U,275030,189066,-1
U,277100,200390,-1
U,277270,192500,-1
U,280870,177598,-1
U,282427,63452,-1
U,284592,190963,-1
U,284860,132780,-1
U,285155,657790,-1
U,286298,48639,-1
U,286800,116633,-1
U,288756,179289,-1
U,288860,377580,-1
U,291774,95295,-1
U,293288,192224,-1
U,295742,113987,-1
U,296365,146922,-1
U,298621,86437,-1
U,301804,193811,-1
U,302981,207659,-1
U,304277,199932,-1
U,306540,192590,-1
U,307280,142633,-1
U,307942,525053,-1
U,308120,180950,-1
U,309697,91280,-1
U,311816,368123,-1
U,311820,189330,-1
U,312832,358024,-1
U,313308,205811,-1
U,315259,331477,-1
U,315500,209400,-1
U,315802,202495,-1
U,317739,176327,-1
U,321820,341410,-1
U,321896,361210,-1
U,323290,476135,-1
U,323328,470500,-1
U,325241,125986,-1
U,325400,707260,-1
U,326070,371353,-1
U,326100,205100,-1
U,326907,360119,-1
U,327301,193066,-1
U,327399,516734,-1
U,329543,198624,-1
U,329551,117217,-1
U,329727,139284,-1
U,334679,383441,-1
U,334840,1010640,-1
U,335560,354790,-1
U,335620,355215,-1
U,336100,950300,-1
U,337141,446010,-1
U,337706,162642,-1
U,338930,196550,-1
U,340460,124670,-1
U,340668,191563,-1
U,340829,191513,-1
U,341602,393849,-1
U,342730,187490,-1
U,344029,432007,-1
U,344239,666866,-1
U,344611,93670,-1
U,346467,452366,-1
U,347270,805790,-1
U,348306,376436,-1
U,348997,259148,-1
U,349190,408300,-1
U,349575,91785,-1
U,349685,402657,-1
U,349883,374270,-1
U,350867,405394,-1
U,351616,427130,-1
U,352062,407256,-1
U,352445,840145,-1
U,353101,485352,-1
U,353193,233883,-1
U,353799,434305,-1
U,354239,514733,-1
U,354570,90550,-1
U,355465,418686,-1
U,355577,541197,-1
U,355848,204349,-1
U,357754,213325,-1
U,358600,866020,-1
U,358669,371999,-1
U,358960,371970,-1
U,359855,312117,-1
U,361256,235075,-1
U,361800,143100,-1
U,363950,222150,-1
U,364617,139177,-1
U,365168,178425,-1
U,365638,421336,-1
U,365698,387615,-1
U,366100,334000,-1
U,366961,373472,-1
U,366970,302480,-1
U,367190,119420,-1
U,368025,678898,-1
U,368226,193200,-1
U,368273,300957,-1
U,369500,381600,-1
U,369671,138464,-1
U,370194,487454,-1
U,370574,365584,-1
U,370856,318547,-1
U,370910,228750,-1
U,373222,351185,-1
U,373497,428407,-1
U,374815,334466,-1
U,376340,602805,-1
U,376465,178882,-1
U,376480,368236,-1
U,376566,336188,-1
U,377900,201398,-1
U,378408,510692,-1
U,378859,345481,-1
U,379431,418615,-1
U,379690,423070,-1
U,379976,102508,-1
U,381363,426456,-1
U,382266,416426,-1
U,383409,433763,-1
U,383857,207860,-1
U,383988,184475,-1
U,385054,357568,-1
U,385257,437916,-1
U,385638,421572,-1
U,385784,302969,-1
U,385870,108473,-1
U,386247,240671,-1
U,386796,495555,-1
U,386811,114369,-1
U,387357,342563,-1
U,387860,435553,-1
U,390582,474101,-1
U,390762,290689,-1
U,392186,423904,-1
U,393000,563500,-1
U,394168,418181,-1
U,394244,414667,-1
U,394470,419160,-1
U,395935,328211,-1
U,397351,116913,-1
U,397520,399070,-1
U,398006,204774,-1
U,398220,447870,-1
U,399312,170445,-1
U,399370,430492,-1
U,400789,381579,-1
U,401352,394790,-1
U,401999,175308,-1
U,402599,425813,-1
U,402870,301026,-1
U,402870,418230,-1
U,404106,446768,-1
U,404885,424158,-1
U,405290,517000,-1
U,405411,344973,-1
U,405885,116630,-1
U,406028,521942,-1
U,406450,419820,-1
U,408878,257116,-1
U,409049,264522,-1
U,409300,591600,-1
U,411069,516570,-1
U,411086,516807,-1
U,412028,189257,-1
U,412977,346472,-1
U,413598,160060,-1
U,414430,556407,-1
U,414566,245316,-1
U,414883,375663,-1
U,415360,456960,-1
U,416190,222690,-1
U,416724,498039,-1
U,416954,566256,-1
U,417201,464607,-1
U,417418,113847,-1
U,417749,261298,-1
U,418256,268841,-1
U,419040,310563,-1
U,419200,179650,-1
U,419266,233914,-1
U,419486,118896,-1
U,419807,384964,-1
U,419877,413108,-1
U,420000,192600,-1
U,420070,440193,-1
U,420214,371682,-1
U,420984,431095,-1
U,421630,103500,-1
U,421861,403869,-1
U,422024,538097,-1
U,422455,427330,-1
U,422495,417382,-1
U,422510,584950,-1
U,422617,160444,-1
U,422675,290753,-1
U,423081,542335,-1
U,423248,127270,-1
U,423358,203880,-1
U,424100,540000,-1
U,424750,521990,-1
U,424950,374096,-1
U,425760,423815,-1
U,425832,436389,-1
U,425838,241107,-1
U,426652,535738,-1
U,426900,331370,-1
U,427700,384910,-1
U,427882,558123,-1
U,428122,287094,-1
U,428624,313355,-1
U,428732,312896,-1
U,428920,102690,-1
U,429201,353059,-1
U,429359,361723,-1
U,429580,191820,-1
U,430537,148644,-1
U,430661,335880,-1
U,431875,309610,-1
U,432000,546800,-1
U,432138,391809,-1
U,433305,87462,-1
U,433711,369318,-1
U,433941,156700,-1
U,434923,157058,-1
U,435129,212900,-1
U,435341,441645,-1
U,435980,216244,-1
U,437283,110708,-1
U,437358,231071,-1
U,437392,116393,-1
U,437639,424514,-1
U,438701,119386,-1
U,439233,139497,-1
U,439593,427193,-1
U,439860,327717,-1
U,440803,372060,-1
U,440874,331933,-1
U,441537,329512,-1
U,441628,161537,-1
U,442290,362570,-1
U,442515,86736,-1
U,442615,134820,-1
U,442690,221670,-1
U,442795,104918,-1
U,443239,341533,-1
U,443324,134966,-1
U,443450,436800,-1
U,443500,433331,-1
U,443721,352253,-1
U,443898,538125,-1
U,444454,501016,-1
U,445000,352000,-1
U,445402,537709,-1
U,445637,440049,-1
U,446539,125007,-1
U,448321,376436,-1
U,449597,248428,-1
U,450078,90897,-1
U,450683,323454,-1
U,451333,263538,-1
U,451580,123890,-1
U,452029,309680,-1
U,452031,202690,-1
U,452075,468874,-1
U,452696,329449,-1
U,452705,364489,-1
U,453740,252860,-1
U,454333,374734,-1
U,455919,216936,-1
U,456902,149506,-1
U,457143,334526,-1
U,457340,181350,-1
U,457960,150950,-1
U,458294,426030,-1
U,459170,125210,-1
U,459288,242754,-1
U,459320,204440,-1
U,459486,131519,-1
U,460344,228883,-1
U,461762,457140,-1
U,464298,134200,-1
U,464454,449823,-1
U,464898,400918,-1
U,465572,348436,-1
U,466272,518306,-1
U,466927,152150,-1
U,467074,518720,-1
U,467487,515106,-1
U,467672,106351,-1
U,467956,370525,-1
U,468330,309740,-1
U,468659,480288,-1
U,468875,153362,-1
U,468907,194797,-1
U,468955,341650,-1
U,468986,428486,-1
U,469438,349227,-1
U,470090,231600,-1
U,470825,382727,-1
U,471282,471240,-1
U,471484,381031,-1
U,471610,518490,-1
U,471917,103214,-1
U,472345,495996,-1
U,472592,132071,-1
U,472875,199183,-1
U,474493,239574,-1
U,475395,491312,-1
U,475950,146633,-1
U,476372,255625,-1
U,477109,130772,-1
U,478255,314643,-1
U,478527,177292,-1
U,478748,198772,-1
U,479610,283370,-1
U,479704,358099,-1
U,479719,173953,-1
U,480100,380000,-1
U,480180,255227,-1
U,480310,497140,-1
U,480693,204822,-1
U,481466,437599,-1
U,481517,357028,-1
U,483011,177036,-1
U,483123,371668,-1
U,483451,115157,-1
U,484620,308860,-1
U,485116,430327,-1
U,486845,209652,-1
U,486966,173368,-1
U,487559,325742,-1
U,487870,286675,-1
U,489085,265981,-1
U,492082,161923,-1
U,493538,429897,-1
U,494267,163919,-1
U,494495,155612,-1
U,495016,197967,-1
U,495170,159800,-1
U,495430,136080,-1
U,496160,105190,-1
U,496402,152543,-1
U,499850,173952,-1
U,500080,174837,-1
U,500460,190510,-1
U,501052,304420,-1
U,501132,134830,-1
U,501656,413688,-1
U,501874,479152,-1
U,502169,168840,-1
U,502363,116440,-1
U,502450,421640,-1
U,503170,405190,-1
U,503800,148350,-1
U,505161,144775,-1
U,505280,154104,-1
U,506019,106098,-1
U,506747,296266,-1
U,507345,243782,-1
U,508022,125414,-1
U,508261,144051,-1
U,508692,106198,-1
U,508738,167491,-1
U,509382,145161,-1
U,509786,134859,-1
U,509998,318939,-1
U,511805,323610,-1
U,513102,155976,-1
U,513386,201033,-1
U,516905,153417,-1
U,517428,205059,-1
U,517519,294331,-1
U,519391,108050,-1
U,520301,271456,-1
U,520397,197867,-1
U,521299,227698,-1
U,522787,369244,-1
U,522940,427592,-1
U,523256,157632,-1
U,525571,155216,-1
U,525643,424898,-1
U,527634,208637,-1
U,529341,318151,-1
U,529650,284743,-1
U,529804,340633,-1
U,531176,154634,-1
U,532151,387185,-1
U,532870,145460,-1
U,539398,249627,-1
U,539567,202554,-1
U,541365,165520,-1
U,541420,415831,-1
U,542308,100613,-1
U,543750,219000,-1
U,549005,358213,-1
U,549088,309258,-1
U,549270,262277,-1
U,549320,219669,-1
U,549490,204390,-1
U,549819,263038,-1
U,550128,220077,-1
U,550309,123518,-1
U,551536,239416,-1
U,551545,281558,-1
U,555913,221199,-1
U,555941,364568,-1
U,556974,128364,-1
U,557557,200396,-1
U,558315,174777,-1
U,561030,165170,-1
U,563256,112745,-1
U,565490,135910,-1
U,565617,167657,-1
U,565899,157104,-1
U,566168,291104,-1
U,566235,154881,-1
U,566985,162923,-1
U,568592,261888,-1
U,568845,277997,-1
U,569170,334732,-1
U,569351,153370,-1
U,569497,171808,-1
U,569770,190608,-1
U,570457,243602,-1
U,571062,118785,-1
U,571140,171570,-1
U,572087,221935,-1
U,572630,191918,-1
U,573991,173210,-1
U,575357,195212,-1
U,575578,204169,-1
U,575620,115820,-1
U,576191,108972,-1
U,576220,130360,-1
U,577104,135942,-1
U,577298,325037,-1
U,577507,112279,-1
U,577540,332646,-1
U,578665,218097,-1
U,578821,189559,-1
U,579200,333891,-1
U,579248,157888,-1
