Road,S Ref E,S Ref N,FdCar,Score
A30,150000,31764,24810,2.519209449
A866,150000,932360,1785,0.181249047
A855,151270,856200,679,0.068945716
A3074,152000,39903,9240,0.938230363
A30,153090,35000,15179,1.541276913
A857,153300,963600,332,0.033711307
A3074,154520,37180,10007,1.016111606
A848,154600,749200,522,0.053003923
A30,155000,36126,17200,1.74648942
A848,157520,743260,458,0.046505358
A849,160000,743000,792,0.080419745
A87,160000,826680,2286,0.232120629
A30,160000,39512,21375,2.170419265
A394,160000,28677,6460,0.655948933
A3047,163400,40380,7684,0.780233995
A851,163710,803750,626,0.063564092
A3047,164000,40361,8444,0.857404457
A30,165000,41272,19133,1.9427664
A87,165000,823130,4010,0.407175731
A884,166000,742200,190,0.019292616
A3047,166022,41083,12897,1.309562445
A394,166200,26970,9994,1.014791585
A3047,166200,41428,9843,0.999459033
A851,167200,810000,931,0.094533817
A3083,167394,25000,10894,1.10617766
A830,167650,795300,1358,0.137891432
A394,167710,28660,9261,0.940362705
A884,167800,744900,413,0.041936054
A849,167900,739850,893,0.090675294
A30,168000,42425,24840,2.522255651
A3047,168000,41626,13671,1.388154469
A3047,168970,42000,13368,1.357387824
A861,169030,765000,551,0.055948586
A3047,169150,42410,15059,1.529092104
A861,169200,764400,375,0.038077531
A884,169500,748400,320,0.032492826
A3047,169500,43000,12655,1.284989745
A87,169600,824300,2379,0.241563856
A3083,169614,20000,3866,0.392553959
A3083,170000,15454,2483,0.252124025
A30,170000,43588,23053,2.340803524
A851,170200,813400,1206,0.12245734
A3047,170470,43650,9053,0.919242368
A83,170600,622100,1471,0.149365461
A393,170700,42130,6538,0.66386906
A3047,171790,43860,11797,1.197868354
A30,172753,45000,28305,2.874092037
A849,173050,733700,547,0.055542425
A830,174000,783910,932,0.094635357
A861,174160,779800,282,0.028634303
A30,175000,47294,15890,1.613471912
A393,175000,38760,6746,0.684989397
A390,175000,46754,18626,1.891285578
A3075,175000,47322,6916,0.702251211
A487,175440,225550,1790,0.181756748
A487,175500,225500,2211,0.224505123
A87,176000,827250,2045,0.207649469
A39,176657,35000,14639,1.486445269
A39,177500,33560,17980,1.825690685
A830,178900,782900,962,0.097681559
A884,179700,760200,244,0.02477578
A87,179900,827760,2219,0.225317443
A39,180000,32614,11474,1.165070908
A30,180000,50424,15033,1.526452061
A390,180000,44960,25749,2.614555586
A3075,180020,55144,6980,0.708749776
A487,180038,224328,2547,0.25862259
A487,180089,227871,1570,0.15941793
A832,180400,877300,905,0.091893775
A392,180963,60869,10947,1.111559284
A832,181070,875000,993,0.100829302
A39,181150,42000,20028,2.033644774
A392,181600,60660,8629,0.876189373
A3058,181620,61000,8018,0.814148382
A392,181820,60360,8141,0.826637812
A390,182066,44000,16360,1.661195751
A83,182290,662000,1254,0.127331264
A39,182705,44000,22446,2.279168694
A392,183000,60250,11444,1.162024705
A816,183000,697600,1505,0.152817824
A39,183140,45000,24980,2.536471263
A896,183760,842100,473,0.048028459
A30,184000,53737,15593,1.583314508
A3058,184000,61735,6431,0.653004271
A39,184163,50000,10102,1.025757914
A83,184300,666100,1254,0.127331264
A3078,184459,33294,477,0.048434619
A816,184500,701600,1087,0.11037407
A3078,184663,32981,477,0.048434619
A3078,184873,33701,477,0.048434619
A816,184900,690000,3284,0.333457631
A83,184950,680000,1689,0.171501199
A3058,185000,59300,6138,0.623253027
A390,185000,46081,12470,1.26620483
A30,185000,54275,22838,2.318972406
A816,185000,723230,1877,0.190590735
A85,185820,730250,2436,0.247351641
A85,185860,730340,1989,0.201963224
A85,185900,730010,11904,1.208733143
A83,186000,688000,5201,0.52810997
A3076,186140,55000,2212,0.224606663
A8015,187000,668800,736,0.074733501
A30,187698,55450,21889,2.222610868
A3058,188000,56613,2931,0.297613982
A3058,188450,56478,1145,0.116263395
A832,188940,890000,521,0.052902383
A30,189800,56886,21648,2.198139708
A890,190000,836960,863,0.087629091
A896,190000,839700,1371,0.139211453
A392,190000,60068,5189,0.526891489
A861,190000,760270,588,0.059705569
A487,190000,233070,1350,0.137079111
A3078,190000,39252,2221,0.225520523
A3059,190000,63149,6204,0.629954672
A85,190000,733900,6309,0.640616381
